user, forward_engineering_percent, corrective_engineering_percent, reengineering_percent, uncategorized_percent, management_percent
pseudomuto,0.0,0.0,1.0,0.0,0.0
unok,0.0,0.0,1.0,0.0,0.0
TheIronMarx,0.0,1.0,0.0,0.0,0.0
keithduncan,0.0,0.0,0.7272727272727273,0.2727272727272727,0.0
todd,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
tfausak,0.0,0.0,0.0,1.0,0.0
uugengiven,0.0,0.06521739130434782,0.06521739130434782,0.0,0.8695652173913043
vinbarnes,0.0,0.0,0.0,1.0,0.0
ta1kt0me,0.0,1.0,0.0,0.0,0.0
cannikin,0.0,0.0,0.0,1.0,0.0
vanetix,0.0,0.0,1.0,0.0,0.0
petedmarsh,0.0,0.0,1.0,0.0,0.0
100ideas,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
davereid,0.0,1.0,0.0,0.0,0.0
mizzy,0.0,0.0,0.0,1.0,0.0
sdimkov,0.13333333333333333,0.4666666666666667,0.15555555555555556,0.044444444444444446,0.2
lornajane,0.0,0.0,0.0,1.0,0.0
tspascoal,1.0,0.0,0.0,0.0,0.0
kevinsimper,0.0,0.0,1.0,0.0,0.0
jbr,0.0,0.0,0.0,1.0,0.0
Taytay,0.0,0.0,1.0,0.0,0.0
pdehaan,0.0,0.0,0.0,0.0,1.0
stkent,0.0,0.0,0.0,0.0,1.0
jhubert,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0
aendrew,0.0,0.0,1.0,0.0,0.0
knomedia,0.0,0.0,0.0,1.0,0.0
slawekzachcial,0.0,1.0,0.0,0.0,0.0
MyvarHD,0.0,0.0,1.0,0.0,0.0
atmos,0.0,0.0,0.0,0.4,0.6
timclipsham,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0
gr2m,0.1835075493612079,0.09059233449477352,0.25551684088269455,0.05226480836236934,0.4181184668989547
lusis,0.0,1.0,0.0,0.0,0.0
rantrix,0.0,1.0,0.0,0.0,0.0
jasonkarns,0.0,0.0,0.0,1.0,0.0
arcturial,1.0,0.0,0.0,0.0,0.0
gjtorikian,0.0,0.0,0.0,1.0,0.0
anroots,1.0,0.0,0.0,0.0,0.0
xrd,0.0,1.0,0.0,0.0,0.0
ahayworth,0.0,1.0,0.0,0.0,0.0
akiomik,1.0,0.0,0.0,0.0,0.0
thiagopnts,1.0,0.0,0.0,0.0,0.0
mgriffin,0.0,1.0,0.0,0.0,0.0
geoffreyanderson,0.19047619047619047,0.0,0.2857142857142857,0.23809523809523808,0.2857142857142857
commadelimited,0.0,0.0,1.0,0.0,0.0
ymendel,0.0,0.0,0.0,1.0,0.0
tombell,0.03894736842105263,0.15894736842105264,0.33157894736842103,0.10105263157894737,0.36947368421052634
joshuarubin,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333
brianshumate,0.0,0.0,1.0,0.0,0.0
charlie-hadden,0.0,1.0,0.0,0.0,0.0
jdennes,0.0,0.0,0.0,1.0,0.0
michaelansel,0.2401866151866152,0.0805984555984556,0.2588481338481338,0.1438223938223938,0.2765444015444015
canadianveggie,0.0,1.0,0.0,0.0,0.0
adamgross42,0.0,0.0,0.3333333333333333,0.16666666666666666,0.5
spajus,0.0,0.3333333333333333,0.16666666666666666,0.0,0.5
mcmahoniel,0.0,0.0,1.0,0.0,0.0
technicalpickles,0.14995258951551,0.09459520476814015,0.08091389352959769,0.2434641260667359,0.43107418612001625
jaythomas,1.0,0.0,0.0,0.0,0.0
sethjackson,1.0,0.0,0.0,0.0,0.0
simonsj,0.0,1.0,0.0,0.0,0.0
ablwr,0.0,0.0,1.0,0.0,0.0
jcbantuelle,0.0,0.0,1.0,0.0,0.0
kristenmills,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0
espy,0.9,0.0,0.0,0.1,0.0
xhan,1.0,0.0,0.0,0.0,0.0
thogg4,1.0,0.0,0.0,0.0,0.0
praseodym,0.0,0.0,0.0,1.0,0.0
bartolsthoorn,0.0,0.0,1.0,0.0,0.0
searls,0.0,0.0,0.0,1.0,0.0
huafu,1.0,0.0,0.0,0.0,0.0
felixdv,1.0,0.0,0.0,0.0,0.0
adamvduke,0.0,1.0,0.0,0.0,0.0
Eliada,0.0,0.0,1.0,0.0,0.0
maxgoedjen,0.0,0.0,1.0,0.0,0.0
mose,0.0,0.0,0.0,0.30303030303030304,0.696969696969697
wingrunr21,0.0,0.0,1.0,0.0,0.0
nwest,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0
softarn,1.0,0.0,0.0,0.0,0.0
pauliwang,0.0,0.0,1.0,0.0,0.0
rileytg,0.0,0.0,0.0,1.0,0.0
aroben,0.1,0.3,0.4,0.2,0.0
Sing-Li,1.0,0.0,0.0,0.0,0.0
rsanheim,0.0,0.0,0.0,0.0,1.0
davidkassa,0.0,0.0,0.16666666666666666,0.0,0.8333333333333334
bouzuya,0.0,1.0,0.0,0.0,0.0
packetmonkey,0.0,0.0,1.0,0.0,0.0
rodrigoaguilera,1.0,0.0,0.0,0.0,0.0
Restuta,1.0,0.0,0.0,0.0,0.0
parkr,0.32142857142857145,0.21428571428571427,0.21428571428571427,0.0,0.25
khellang,0.0,0.0,0.0,0.0,1.0
bkeepers,0.02902757619738752,0.09143686502177069,0.29027576197387517,0.2416545718432511,0.34760522496371554
rgbkrk,1.0,0.0,0.0,0.0,0.0
miyagawa,1.0,0.0,0.0,0.0,0.0
MikeMcQuaid,0.0,0.0,0.0,0.0,1.0
leefaus,0.0,0.0,0.6727272727272727,0.0,0.32727272727272727
bhuga,0.21149425287356322,0.10574712643678161,0.07586206896551724,0.4804597701149425,0.12643678160919541
dblandin,0.0,0.0,0.0,0.0,1.0
coryallegory,0.0,0.0,1.0,0.0,0.0
xuoe,0.0,1.0,0.0,0.0,0.0
tricknotes,0.19047619047619047,0.38095238095238093,0.047619047619047616,0.14285714285714285,0.23809523809523808
MrSaints,0.0,0.0,1.0,0.0,0.0
balbeko,0.4666666666666667,0.0,0.4,0.044444444444444446,0.08888888888888889
kballard,0.0,0.0,1.0,0.0,0.0
halkeye,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0
jjasghar,0.0,0.0,1.0,0.0,0.0
ngs,0.0,0.0,1.0,0.0,0.0
afeld,0.4,0.0,0.6,0.0,0.0
hhaidar,1.0,0.0,0.0,0.0,0.0
thiagogabriel,0.0,0.0,1.0,0.0,0.0
danielcompton,0.0,0.0,1.0,0.0,0.0
ChrisLundquist,0.0,1.0,0.0,0.0,0.0
smerrill,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0
needcaffeine,0.0,1.0,0.0,0.0,0.0
